country;life_expect_2015;life_expect_2016;life_expect_2017;Corruption perception_index_2015;Corruption perception_index_2016;Corruption perception_index_2017;Education_exp_2015;Education_exp_2016;Education_exp_2017;freedix_2015;freedix_2016;freedix_2017;gdp_growth_2015;gdp_growth_2016;gdp_growth_2017;gini_2015;gini_2016;gini_2017;health_spend;10per_richest_2015;10per_richest_2016;10per_richest_2017;Military_exp_2015;Military_exp_2016;Military_exp_2017
Afghanistan;61.2;61.2;63.4;11;15;15;0.102;0.103;0.103;6;6;5.5;2.11;2.68;2.76;36.8;36.8;36.8;5.18;;;;0.00995;0.00957;0.00945
Albania;78;78.1;78.2;36;39;38;0.298;0;0.342;3;3;3;3.82;4.72;5.03;29;29;29;225;24.9;25;24.8;0.0116;0.011;0.0111
Algeria;77.1;77.4;77.7;36;34;33;0;0;0;5.5;5.5;5.5;2.1;2.36;2.5;27.6;27.6;27.6;257;0;0;0;0.0627;0.0638;0.0601
Angola;63.3;63.8;64.2;15;18;19;;;;6;6;6;2.46;2.77;0.262;42.6;42.6;42.6;139;0;0;0;0.0311;0.0273;0.0242
Argentina;76.5;76.5;76.7;32;36;39;0.156;0.152;0.15;2;2;2;-0.128;0.367;0.861;41.8;42.1;42.3;703;0;30.3;29.7;0.0085;0.00813;0.00856
Armenia;75.3;75.4;75.6;35;33;35;0.11;0.113;0.102;4.5;4.5;4.5;4.29;4.49;4.79;31.9;32.3;32.5;96.9;26.7;25.3;28.4;0.0424;0.0409;0.0385
Australia;82.5;82.5;82.4;79;79;77;0.188;0.193;0;1;1;1;1.48;1.73;1.7;32.3;32.3;32.3;2340;0;0;0;0.0195;0.0208;0.02
Austria;81.5;81.7;81.8;76;75;75;0.232;0.235;0;1;1;1;1.31;1.2;1.03;30.6;30.5;30.5;3400;23.8;23.9;23;0.00698;0.00733;0.00756
Azerbaijan;70.5;70.6;70.8;29;30;31;;;;6.5;6.5;6.5;3.78;2.66;2.4;32.4;32.4;32.4;118;0;0;0;0.0546;0.0369;0.0382
Bahamas;73.3;73.6;73.7;;66;65;;;;1;1;1;1.64;1.69;1.36;43.7;43.7;43.7;907;;;;;;
Bahrain;79.3;79.4;79.5;51;43;36;0.112;0;0;6.5;6.5;6.5;1.23;1.24;1.45;40;40;40;794;;;;0.0463;0.0467;0.0434
Bangladesh;72.5;72.9;73.1;25;26;28;0;0;0;4;4;4;5.41;5.66;5.9;32.3;32.4;32.4;8.07;0;26.8;0;0.0135;0.0137;0.0124
Barbados;77.1;77.1;77.1;;61;68;0;0.208;0;1;1;1;0.64;1.36;1.52;43.8;43.8;43.8;990;;;;;;
Belarus;73.8;74;74;32;40;44;;;;6.5;6.5;6;3.01;3.26;3.19;26.9;27;26.9;611;21.2;21.3;21.3;0.0128;0.0126;0.0116
Belgium;80.9;81.2;81.4;77;77;75;0.22;0.219;0;1;1;1;0.781;0.654;0.723;27.8;27.8;27.7;3010;22.2;22.2;21.9;0.00922;0.00906;0.00895
Benin;63.5;64.1;64.6;37;36;39;0.103;0;0;2;2;2;2.59;2.27;2.35;46.9;47.5;47.8;32;37.6;0;0;0.011;0.00928;0.0126
Bhutan;73.5;73.8;74;65;65;67;0;0;0;3.5;3.5;3.5;7.34;7.97;8.4;38;37.8;37.6;239;0;0;27.9;;;
Bolivia;72.2;72.5;72.8;34;33;33;;;;3;3;3;3.04;3.04;3.04;46.3;45.7;45.1;147;34.8;32.1;31.7;0.0174;0.0163;0.0154
Bosnia and Herzegovina;76.4;76.5;76.7;38;39;38;;;;3.5;4;4;3.41;3.94;4.26;32.7;32.7;32.7;597;0;0;0;0.01;0.00934;0.00864
Botswana;66.9;68.1;69.1;63;60;61;0;0;0;2.5;2.5;2.5;3.17;2.86;2.81;60.5;60.5;60.5;830;41.5;0;0;0.0266;0.0329;0.0301
Brazil;75.5;75.4;75.5;38;40;37;0.201;0;0;2;2;2;1.81;2.19;2.36;51.6;51.4;51.3;484;40.9;42.1;42;0.0137;0.0135;0.0142
